roll,inkomstgrupp,kapitalgrupp,alder,kon,batchkod,land
,0,5,20,man,Övriga,Sverige
L,3,5,57,man,M,inte_sverige
,5,2,76,man,Övriga,Sverige
Sec,5,1,33,kvinna,M,inte_sverige
,4,3,52,kvinna,Övriga,inte_sverige
,3,1,86,kvinna,Övriga,Sverige
S,1,5,46,kvinna,M,Sverige
L,3,2,88,kvinna,M,inte_sverige
S,1,5,80,man,M,Sverige
,3,1,44,man,Övriga,inte_sverige
L,3,4,22,man,M,inte_sverige
Sec,2,5,50,kvinna,M,Sverige
,2,5,84,man,Övriga,Sverige
,1,1,77,kvinna,Övriga,Sverige
,0,5,21,man,Övriga,Sverige
,1,1,90,kvinna,Övriga,inte_sverige
,0,1,26,man,Övriga,inte_sverige
D,1,2,40,kvinna,M,inte_sverige
,1,1,38,man,Övriga,Sverige
Sec,0,2,58,kvinna,M,inte_sverige
S,2,5,59,kvinna,M,Sverige
D,1,5,55,kvinna,M,inte_sverige
S,1,2,29,kvinna,M,Sverige
,1,1,20,man,Övriga,Sverige
,1,3,55,man,Övriga,Sverige
L,1,4,56,kvinna,M,inte_sverige
,3,1,86,kvinna,Övriga,inte_sverige
,4,5,69,man,Övriga,Sverige
Sec,1,1,70,kvinna,M,inte_sverige
D,1,5,75,kvinna,M,Sverige
,5,5,28,kvinna,Övriga,inte_sverige
L,5,3,67,man,M,Sverige
,1,3,82,kvinna,Övriga,Sverige
,5,4,38,kvinna,Övriga,inte_sverige
S,3,5,31,kvinna,M,Sverige
,0,1,61,man,Övriga,inte_sverige
,3,4,71,man,Övriga,inte_sverige
S,5,3,27,man,M,Sverige
S,1,5,41,man,M,inte_sverige
D,1,4,45,kvinna,M,Sverige
,3,2,77,man,Övriga,inte_sverige
D,1,5,52,man,M,inte_sverige
,1,1,75,man,Övriga,Sverige
,5,3,75,kvinna,Övriga,inte_sverige
L,3,5,26,man,M,Sverige
,5,4,68,kvinna,Övriga,Sverige
,1,2,44,kvinna,Övriga,inte_sverige
Sec,2,3,77,man,M,inte_sverige
L,1,2,80,kvinna,M,Sverige
Sec,4,5,25,kvinna,M,Sverige
Sec,0,4,44,kvinna,M,Sverige
,5,3,32,man,Övriga,inte_sverige
,3,5,49,man,Övriga,inte_sverige
,4,2,47,kvinna,Övriga,inte_sverige
Sec,0,5,64,man,M,Sverige
,3,5,20,kvinna,Övriga,Sverige
,3,5,33,man,Övriga,inte_sverige
,0,3,69,kvinna,Övriga,inte_sverige
,4,3,49,kvinna,Övriga,inte_sverige
S,4,3,47,man,M,Sverige
S,0,5,78,man,M,inte_sverige
,5,2,54,man,Övriga,Sverige
S,0,2,74,man,M,inte_sverige
Sec,3,4,52,kvinna,M,inte_sverige
,4,3,59,kvinna,Övriga,inte_sverige
S,4,5,79,kvinna,M,Sverige
,2,4,88,man,Övriga,Sverige
,2,5,49,kvinna,Övriga,inte_sverige
Sec,0,3,82,kvinna,M,inte_sverige
,1,1,56,kvinna,Övriga,inte_sverige
S,5,5,45,man,M,inte_sverige
D,5,5,53,man,M,Sverige
,5,4,67,man,Övriga,Sverige
D,5,1,76,man,M,inte_sverige
,4,4,39,man,Övriga,inte_sverige
,5,4,74,kvinna,Övriga,Sverige
,2,2,38,kvinna,Övriga,Sverige
L,4,4,52,man,M,inte_sverige
,0,1,86,man,Övriga,Sverige
S,3,4,26,kvinna,M,Sverige
D,4,5,51,kvinna,M,Sverige
,1,5,56,kvinna,Övriga,inte_sverige
S,5,1,70,man,M,inte_sverige
,3,1,36,kvinna,Övriga,inte_sverige
L,4,4,42,man,M,inte_sverige
,4,4,25,kvinna,Övriga,inte_sverige
S,2,4,51,kvinna,M,inte_sverige
,3,5,77,man,Övriga,Sverige
S,1,5,35,kvinna,M,inte_sverige
,3,5,30,man,Övriga,inte_sverige
,1,4,70,man,Övriga,inte_sverige
,0,2,77,man,Övriga,Sverige
,0,3,50,man,Övriga,inte_sverige
,0,3,90,man,Övriga,inte_sverige
,3,1,47,man,Övriga,Sverige
D,0,4,31,man,M,inte_sverige
L,0,1,85,kvinna,M,inte_sverige
S,1,4,47,kvinna,M,inte_sverige
L,0,3,86,man,M,inte_sverige
,1,1,52,man,Övriga,Sverige
,3,1,69,kvinna,Övriga,Sverige
S,5,1,74,kvinna,M,Sverige
L,3,3,28,kvinna,M,Sverige
L,2,1,63,kvinna,M,Sverige
,5,2,29,man,Övriga,Sverige
D,2,3,47,man,M,inte_sverige
,4,2,34,man,Övriga,inte_sverige
D,5,3,32,man,M,inte_sverige
Sec,1,4,30,kvinna,M,Sverige
,1,1,37,kvinna,Övriga,Sverige
,2,4,50,man,Övriga,inte_sverige
Sec,5,1,69,man,M,inte_sverige
S,4,3,67,kvinna,M,Sverige
,4,3,54,kvinna,Övriga,Sverige
,5,1,90,man,Övriga,inte_sverige
,5,3,79,man,Övriga,inte_sverige
S,5,4,26,man,M,Sverige
,0,1,52,man,Övriga,Sverige
S,2,1,44,kvinna,M,Sverige
L,0,2,51,man,M,Sverige
Sec,0,2,27,kvinna,M,inte_sverige
,2,4,43,man,Övriga,Sverige
S,3,5,67,man,M,Sverige
,2,3,75,man,Övriga,Sverige
,5,1,62,man,Övriga,Sverige
D,1,4,41,man,M,Sverige
D,2,4,52,man,M,inte_sverige
D,0,1,62,man,M,inte_sverige
,1,4,80,man,Övriga,inte_sverige
S,2,5,59,man,M,Sverige
,3,1,82,kvinna,Övriga,inte_sverige
Sec,1,3,36,man,M,inte_sverige
,3,5,21,man,Övriga,Sverige
,0,4,72,kvinna,Övriga,inte_sverige
L,0,1,53,man,M,inte_sverige
,2,2,54,kvinna,Övriga,inte_sverige
S,2,2,30,man,M,Sverige
,3,1,74,man,Övriga,Sverige
,3,2,41,man,Övriga,inte_sverige
,5,5,62,man,Övriga,Sverige
L,1,3,55,man,M,Sverige
,4,2,28,kvinna,Övriga,Sverige
,5,1,52,man,Övriga,Sverige
Sec,4,3,27,man,M,Sverige
S,5,3,72,man,M,Sverige
S,0,1,80,kvinna,M,Sverige
,0,5,41,man,Övriga,inte_sverige
D,3,1,25,kvinna,M,inte_sverige
,4,1,64,man,Övriga,Sverige
,4,2,70,man,Övriga,inte_sverige
,0,1,22,kvinna,Övriga,Sverige
S,2,1,53,kvinna,M,Sverige
Sec,5,3,87,man,M,Sverige
,3,5,90,man,Övriga,inte_sverige
L,3,3,75,man,M,Sverige
,4,5,27,man,Övriga,inte_sverige
,5,4,55,kvinna,Övriga,inte_sverige
D,4,1,43,man,M,inte_sverige
Sec,0,4,23,man,M,Sverige
D,4,2,47,kvinna,M,inte_sverige
L,4,2,71,man,M,inte_sverige
,3,3,63,kvinna,Övriga,Sverige
,1,3,75,kvinna,Övriga,Sverige
Sec,0,1,83,kvinna,M,Sverige
,5,2,58,kvinna,Övriga,inte_sverige
D,3,1,52,man,M,inte_sverige
S,3,3,87,man,M,inte_sverige
Sec,5,4,24,kvinna,M,Sverige
,2,3,76,kvinna,Övriga,inte_sverige
,5,3,35,kvinna,Övriga,Sverige
,1,2,48,man,Övriga,inte_sverige
,2,1,66,kvinna,Övriga,Sverige
D,5,4,32,kvinna,M,Sverige
,3,2,30,kvinna,Övriga,inte_sverige
,0,1,79,man,Övriga,inte_sverige
,2,1,75,kvinna,Övriga,inte_sverige
Sec,0,4,69,man,M,inte_sverige
,3,5,48,kvinna,Övriga,inte_sverige
S,2,3,57,man,M,inte_sverige
,4,3,71,kvinna,Övriga,Sverige
Sec,0,5,90,man,M,inte_sverige
,5,3,75,man,Övriga,inte_sverige
L,4,3,33,man,M,Sverige
S,0,4,45,kvinna,M,inte_sverige
D,0,1,58,man,M,inte_sverige
,5,1,57,man,Övriga,Sverige
S,2,4,42,man,M,Sverige
,1,2,37,kvinna,Övriga,inte_sverige
,4,3,76,kvinna,Övriga,Sverige
,3,1,25,man,Övriga,inte_sverige
S,4,4,21,man,M,Sverige
,4,4,60,man,Övriga,inte_sverige
,1,3,36,kvinna,Övriga,Sverige
S,5,5,23,kvinna,M,inte_sverige
,4,4,36,kvinna,Övriga,inte_sverige
,4,1,74,man,Övriga,Sverige
Sec,1,2,75,man,M,inte_sverige
L,3,3,86,kvinna,M,Sverige
,0,2,45,man,Övriga,inte_sverige
,4,1,34,kvinna,Övriga,inte_sverige
D,0,1,69,kvinna,M,Sverige
Sec,2,1,40,man,M,inte_sverige
S,5,4,52,man,M,Sverige
,0,1,64,man,Övriga,Sverige
L,2,4,38,man,M,inte_sverige
S,3,4,39,man,M,inte_sverige
Sec,5,3,37,kvinna,M,inte_sverige
,3,2,87,kvinna,Övriga,Sverige
Sec,3,3,77,kvinna,M,Sverige
,4,4,49,man,Övriga,inte_sverige
S,5,1,59,kvinna,M,Sverige
,5,3,32,man,Övriga,inte_sverige
,4,5,40,man,Övriga,Sverige
Sec,4,3,60,man,M,inte_sverige
,0,1,74,kvinna,Övriga,inte_sverige
,5,4,30,kvinna,Övriga,inte_sverige
,4,3,44,man,Övriga,inte_sverige
,3,3,45,kvinna,Övriga,inte_sverige
,3,1,42,man,Övriga,inte_sverige
,2,2,56,kvinna,Övriga,Sverige
,0,4,61,man,Övriga,inte_sverige
S,1,2,60,kvinna,M,Sverige
Sec,0,5,51,man,M,inte_sverige
,2,2,69,man,Övriga,inte_sverige
,1,3,87,man,Övriga,inte_sverige
,0,4,52,man,Övriga,inte_sverige
,1,5,27,kvinna,Övriga,Sverige
,2,4,64,kvinna,Övriga,Sverige
L,2,1,37,kvinna,M,Sverige
,1,5,62,man,Övriga,Sverige
S,5,3,49,kvinna,M,inte_sverige
D,5,4,77,man,M,inte_sverige
,5,1,24,man,Övriga,inte_sverige
,0,1,40,kvinna,Övriga,inte_sverige
S,2,1,44,kvinna,M,Sverige
,5,2,23,kvinna,Övriga,Sverige
L,3,5,28,kvinna,M,inte_sverige
,5,4,74,kvinna,Övriga,Sverige
S,1,3,20,man,M,Sverige
L,0,4,65,man,M,Sverige
,0,3,62,kvinna,Övriga,inte_sverige
D,3,1,59,kvinna,M,Sverige
,5,5,64,kvinna,Övriga,Sverige
,0,4,69,kvinna,Övriga,inte_sverige
,0,3,88,man,Övriga,Sverige
L,3,3,76,kvinna,M,inte_sverige
Sec,3,1,74,man,M,Sverige
,2,1,56,man,Övriga,Sverige
,0,2,67,kvinna,Övriga,Sverige
S,4,3,24,kvinna,M,inte_sverige
,2,5,48,man,Övriga,inte_sverige
D,5,5,53,kvinna,M,Sverige
D,4,2,62,kvinna,M,Sverige
L,1,1,77,kvinna,M,Sverige
S,4,2,58,man,M,Sverige
D,1,5,20,man,M,inte_sverige
,0,3,61,kvinna,Övriga,inte_sverige
,1,1,22,man,Övriga,inte_sverige
L,4,5,40,kvinna,M,Sverige
,4,2,37,kvinna,Övriga,Sverige
D,0,1,82,kvinna,M,Sverige
Sec,2,1,49,man,M,inte_sverige
L,5,2,79,man,M,Sverige
S,4,1,27,man,M,inte_sverige
S,3,3,63,kvinna,M,Sverige
S,3,4,87,man,M,inte_sverige
L,0,1,32,kvinna,M,Sverige
,4,2,29,man,Övriga,inte_sverige
,2,3,22,kvinna,Övriga,Sverige
L,4,4,65,kvinna,M,inte_sverige
S,3,4,56,kvinna,M,Sverige
,4,3,49,kvinna,Övriga,Sverige
,2,5,63,man,Övriga,Sverige
D,1,4,86,kvinna,M,inte_sverige
,3,4,48,man,Övriga,inte_sverige
Sec,4,1,72,kvinna,M,inte_sverige
,2,4,65,kvinna,Övriga,Sverige
,3,1,36,kvinna,Övriga,Sverige
,0,4,83,man,Övriga,Sverige
D,1,1,74,kvinna,M,Sverige
L,1,4,83,man,M,Sverige
,2,5,69,man,Övriga,inte_sverige
S,0,3,87,kvinna,M,Sverige
,4,1,80,kvinna,Övriga,inte_sverige
,5,3,64,kvinna,Övriga,Sverige
,5,2,31,man,Övriga,Sverige
D,4,2,58,man,M,inte_sverige
L,4,2,87,kvinna,M,Sverige
L,5,1,81,kvinna,M,Sverige
D,4,2,30,man,M,Sverige
Sec,1,3,67,man,M,inte_sverige
,3,2,37,kvinna,Övriga,Sverige
,5,1,59,man,Övriga,Sverige
D,1,5,73,man,M,Sverige
,2,4,41,kvinna,Övriga,inte_sverige
S,0,5,58,kvinna,M,Sverige
Sec,2,5,48,man,M,Sverige
L,4,2,45,man,M,Sverige
D,4,4,28,man,M,Sverige
,4,5,34,kvinna,Övriga,Sverige
L,3,1,70,kvinna,M,inte_sverige
,1,4,43,kvinna,Övriga,inte_sverige
,0,1,25,kvinna,Övriga,inte_sverige
D,4,1,40,kvinna,M,Sverige
,2,1,79,man,Övriga,Sverige
,3,5,80,kvinna,Övriga,inte_sverige
,0,2,82,man,Övriga,inte_sverige
D,0,2,27,kvinna,M,inte_sverige
,4,3,51,kvinna,Övriga,inte_sverige
,3,4,24,kvinna,Övriga,inte_sverige
,1,2,42,kvinna,Övriga,Sverige
D,5,3,85,man,M,Sverige
,0,5,31,man,Övriga,Sverige
D,4,1,20,man,M,inte_sverige
,1,1,66,man,Övriga,Sverige
L,3,1,21,man,M,inte_sverige
,2,4,71,man,Övriga,inte_sverige
L,4,4,46,kvinna,M,inte_sverige
,3,2,48,kvinna,Övriga,inte_sverige
,3,4,72,kvinna,Övriga,inte_sverige
,5,2,57,man,Övriga,inte_sverige
Sec,4,3,68,kvinna,M,inte_sverige
D,5,5,57,kvinna,M,Sverige
Sec,0,3,39,man,M,Sverige
,2,5,47,man,Övriga,inte_sverige
,3,1,58,kvinna,Övriga,Sverige
,1,1,51,kvinna,Övriga,inte_sverige
L,4,5,90,man,M,Sverige
,2,1,80,man,Övriga,Sverige
,2,1,60,kvinna,Övriga,Sverige
S,0,5,73,man,M,inte_sverige
L,2,4,81,kvinna,M,Sverige
,4,5,52,man,Övriga,Sverige
S,0,3,54,kvinna,M,Sverige
,1,1,28,man,Övriga,Sverige
,2,2,24,kvinna,Övriga,Sverige
,4,3,78,kvinna,Övriga,inte_sverige
,0,2,22,man,Övriga,inte_sverige
Sec,4,3,42,man,M,inte_sverige
D,3,4,68,kvinna,M,Sverige
S,5,3,64,kvinna,M,Sverige
D,4,4,43,kvinna,M,inte_sverige
,5,4,50,kvinna,Övriga,inte_sverige
L,2,1,20,kvinna,M,Sverige
,2,3,86,kvinna,Övriga,inte_sverige
L,1,2,74,kvinna,M,Sverige
,4,4,48,man,Övriga,Sverige
S,3,1,31,kvinna,M,inte_sverige
,0,5,61,kvinna,Övriga,inte_sverige
,4,1,67,kvinna,Övriga,Sverige
,3,5,25,man,Övriga,inte_sverige
,0,1,28,man,Övriga,inte_sverige
,3,5,74,man,Övriga,inte_sverige
Sec,3,4,44,man,M,inte_sverige
D,3,5,68,man,M,inte_sverige
,3,2,48,kvinna,Övriga,Sverige
Sec,0,3,71,kvinna,M,Sverige
D,4,2,21,man,M,inte_sverige
,2,1,24,man,Övriga,Sverige
D,4,3,50,kvinna,M,Sverige
,1,1,79,man,Övriga,inte_sverige
Sec,3,5,27,man,M,Sverige
L,5,5,87,man,M,Sverige
L,1,1,38,man,M,Sverige
L,5,1,39,kvinna,M,inte_sverige
Sec,0,5,47,kvinna,M,inte_sverige
,4,1,52,kvinna,Övriga,Sverige
,4,2,49,man,Övriga,Sverige
,0,3,86,kvinna,Övriga,Sverige
,5,2,87,kvinna,Övriga,Sverige
D,3,2,36,man,M,Sverige
,0,5,22,kvinna,Övriga,Sverige
,5,4,63,kvinna,Övriga,Sverige
,1,1,48,man,Övriga,Sverige
,0,3,60,man,Övriga,Sverige
,2,1,85,kvinna,Övriga,inte_sverige
S,5,3,20,kvinna,M,Sverige
Sec,3,1,68,man,M,inte_sverige
,4,3,47,man,Övriga,inte_sverige
,3,1,48,kvinna,Övriga,inte_sverige
,3,3,46,man,Övriga,Sverige
S,1,5,71,man,M,inte_sverige
L,3,4,73,kvinna,M,Sverige
,4,2,47,kvinna,Övriga,inte_sverige
S,5,4,80,kvinna,M,Sverige
,2,5,76,kvinna,Övriga,inte_sverige
D,1,2,51,man,M,Sverige
,5,2,51,man,Övriga,Sverige
,5,3,25,man,Övriga,inte_sverige
Sec,2,5,53,kvinna,M,Sverige
Sec,0,2,57,man,M,Sverige
S,4,3,50,man,M,Sverige
Sec,3,4,43,kvinna,M,Sverige
,5,1,75,kvinna,Övriga,inte_sverige
,0,5,21,kvinna,Övriga,Sverige
Sec,3,3,21,man,M,Sverige
,4,2,55,man,Övriga,inte_sverige
L,4,3,70,kvinna,M,inte_sverige
S,1,1,23,man,M,inte_sverige
L,2,3,55,man,M,Sverige
,0,2,33,kvinna,Övriga,inte_sverige
,0,5,40,kvinna,Övriga,Sverige
,4,4,83,kvinna,Övriga,inte_sverige
,3,5,66,kvinna,Övriga,Sverige
,0,5,41,kvinna,Övriga,inte_sverige
,2,5,23,kvinna,Övriga,Sverige
,5,1,84,kvinna,Övriga,Sverige
D,5,3,59,kvinna,M,Sverige
Sec,4,4,79,kvinna,M,inte_sverige
,0,4,79,kvinna,Övriga,Sverige
,4,1,40,kvinna,Övriga,Sverige
,3,1,59,man,Övriga,inte_sverige
,1,2,23,man,Övriga,Sverige
,,,81,man,Övriga,Sverige
,,,42,kvinna,Övriga,inte_sverige
,,,46,man,Övriga,Sverige
L,,,80,kvinna,M,Sverige
,,,81,kvinna,Övriga,inte_sverige
S,,,30,man,M,inte_sverige
,,,49,kvinna,Övriga,Sverige
,,,65,man,Övriga,Sverige
,,,71,man,Övriga,Sverige
,,,81,kvinna,Övriga,Sverige
D,,,83,kvinna,M,inte_sverige
,,,60,kvinna,Övriga,inte_sverige
D,,,81,kvinna,M,Sverige
,,,49,kvinna,Övriga,Sverige
S,,,27,man,M,Sverige
,,,81,man,Övriga,Sverige
,,,52,man,Övriga,inte_sverige
D,,,69,man,M,Sverige
Sec,,,54,kvinna,M,inte_sverige
,,,86,man,Övriga,Sverige
D,,,22,kvinna,M,inte_sverige
D,,,75,kvinna,M,Sverige
,,,44,kvinna,Övriga,inte_sverige
Sec,,,89,kvinna,M,inte_sverige
,,,52,kvinna,Övriga,inte_sverige
Sec,,,43,kvinna,M,Sverige
,,,36,kvinna,Övriga,inte_sverige
,,,76,kvinna,Övriga,Sverige
,,,57,man,Övriga,inte_sverige
,,,83,kvinna,Övriga,inte_sverige
,,,35,kvinna,Övriga,inte_sverige
,,,45,kvinna,Övriga,inte_sverige
,,,88,kvinna,Övriga,inte_sverige
,,,71,kvinna,Övriga,inte_sverige
,,,22,kvinna,Övriga,inte_sverige
,,,28,kvinna,Övriga,Sverige
,,,73,kvinna,Övriga,Sverige
,,,61,kvinna,Övriga,inte_sverige
,,,61,man,Övriga,Sverige
,,,23,kvinna,Övriga,Sverige
Sec,,,52,kvinna,M,Sverige
,,,87,man,Övriga,Sverige
,,,61,man,Övriga,Sverige
,,,82,man,Övriga,inte_sverige
Sec,,,88,man,M,inte_sverige
,,,36,man,Övriga,inte_sverige
,,,64,kvinna,Övriga,Sverige
,,,76,man,Övriga,Sverige
D,,,61,man,M,inte_sverige
,,,67,man,Övriga,inte_sverige
,,,34,man,Övriga,inte_sverige
D,,,24,kvinna,M,inte_sverige
,,,65,kvinna,Övriga,Sverige
L,,,38,man,M,inte_sverige
,,,85,kvinna,Övriga,inte_sverige
,,,30,man,Övriga,Sverige
Sec,,,77,kvinna,M,Sverige
S,,,54,kvinna,M,Sverige
,,,73,kvinna,Övriga,Sverige
,,,24,man,Övriga,Sverige
,,,88,man,Övriga,inte_sverige
D,,,51,man,M,Sverige
,,,44,man,Övriga,Sverige
D,,,85,man,M,inte_sverige
,,,81,kvinna,Övriga,Sverige
,,,31,man,Övriga,Sverige
L,,,46,kvinna,M,inte_sverige
Sec,,,30,man,M,inte_sverige
L,,,89,kvinna,M,Sverige
,,,54,man,Övriga,Sverige
,,,46,kvinna,Övriga,Sverige
L,,,79,man,M,inte_sverige
,,,57,man,Övriga,inte_sverige
L,,,56,kvinna,M,inte_sverige
,,,90,kvinna,Övriga,inte_sverige
,,,71,man,Övriga,inte_sverige
,,,86,kvinna,Övriga,Sverige
D,,,47,man,M,Sverige
D,,,87,man,M,Sverige
D,,,32,kvinna,M,inte_sverige
L,,,35,man,M,Sverige
S,,,44,man,M,inte_sverige
D,,,54,man,M,Sverige
Sec,,,64,man,M,Sverige
,,,43,kvinna,Övriga,Sverige
,,,88,man,Övriga,inte_sverige
S,,,56,man,M,inte_sverige
,,,53,kvinna,Övriga,Sverige
,,,85,man,Övriga,Sverige
L,,,30,kvinna,M,inte_sverige
,,,72,man,Övriga,Sverige
,,,23,man,Övriga,Sverige
,,,86,man,Övriga,Sverige
,,,90,man,Övriga,Sverige
,,,65,man,Övriga,Sverige
,,,57,man,Övriga,Sverige
L,,,79,man,M,Sverige
S,,,32,man,M,Sverige
S,,,52,kvinna,M,inte_sverige
S,,,70,man,M,Sverige
